今週,先週,先々週,タイトル,アーティスト
1,8,-,ハニーメモリー,aiko
2,3,19,Boogie Ride,久保田利伸
3,9,-,Super good,藤原さくら
4,1,5,BACKSTAY,さかいゆう
5,5,17,散りてなお,手嶌葵
6,2,4,ギガアイシテル,レキシ
7,4,1,turn over?,Mr.Children
8,7,2,Time Warp,Perfume
9,16,-,Juliet,D.Y.T
10,18,-,東京は燃えてる,GLIM SPANKY
11,24,-,化かしHOUR NIGHT,ビッケブランカ VS 岡崎体育
12,14,21,Letter,Surrounded By Enemies
13,15,22,Out of Reach,BANANAGUN
14,6,3,Gravity,BUMP OF CHICKEN
15,23,-,アカシア,BUMP OF CHICKEN
16,25,-,未来予想図II - DOSCO prime Version -,DREAMS COME TRUE
17,10,7,朝陽,あいみょん
18,NEW,-,ランドリー,LUCKY TAPES
19,NEW,-,炎,LiSA
20,NEW,-,風を食む,ヨルシカ
21,NEW,-,Bill,Naz
22,NEW,-,あの子のダーリン,カノエラナ
23,RE,16,DeadRock,みゆな
24,28,-,Here We Go Around Again (1990),Mariah Carey
25,NEW,-,ティーンエイジペイン,林萌々子
26,NEW,-,落日,森山直太朗
27,NEW,-,Say So -Japanese version- tofubeats Remix,Rainych
28,RE,23,Singin' for...,和楽器バンド
29,NEW,-,お願いマーシー,THE COLLECTORS
30,RE,27,EYE,LAMP IN TERREN
